window_days,start_day,end_day,feature,psi,psi_alert
7,152,159,TransactionAmt_to_std_uid,0.007299355088404771,False
7,152,159,TransactionAmt_to_std_card1,0.002297042180002095,False
7,152,159,TransactionAmt_log_to_std_uid,0.006057909008900557,False
7,152,159,TransactionAmt_log_to_std_card1,0.002603112917596495,False
7,152,159,id_02,4.7555937150931484e-05,False
7,152,159,TransactionAmt_log_card4_count,0.00046052016514908426,False
7,152,159,TransactionAmt_card4_count,0.00046052016514908426,False
7,152,159,V332,0.0,False
7,152,159,V127,0.0017075156831291862,False
7,152,159,V307,0.0013144048454747594,False
7,152,159,V203,0.0,False
7,152,159,V317,0.00016819908009080712,False
7,152,159,V133,0.0,False
7,152,159,V212,0.0,False
7,152,159,V333,0.0,False
7,152,159,V128,0.00013670330069895503,False
7,152,159,V308,0.0003253952207499888,False
7,152,159,V204,0.0,False
7,152,159,V165,0.0,False
7,152,159,V318,0.0,False
7,152,159,V134,0.0,False
7,152,159,V213,0.0,False
7,152,159,V331,0.0,False
7,152,159,V306,0.0012403456607152934,False
7,152,159,V126,0.0006215907180937199,False
7,152,159,V202,0.0,False
7,152,159,V164,0.0,False
7,152,159,V316,0.0,False
7,152,159,V132,0.0,False
7,152,159,V211,0.0,False
7,159,166,TransactionAmt_to_std_uid,0.042477550233054634,False
7,159,166,TransactionAmt_to_std_card1,0.003278793699252951,False
7,159,166,TransactionAmt_log_to_std_uid,0.045379685984967735,False
7,159,166,TransactionAmt_log_to_std_card1,0.005408906769442226,False
7,159,166,id_02,0.02904161489319771,False
7,159,166,TransactionAmt_log_card4_count,0.045943875835650974,False
7,159,166,TransactionAmt_card4_count,0.045943875835650974,False
7,159,166,V332,0.0,False
7,159,166,V127,0.004352347569338341,False
7,159,166,V307,0.0026022821578667284,False
7,159,166,V203,0.0,False
7,159,166,V317,0.004661832560712377,False
7,159,166,V133,0.0,False
7,159,166,V212,0.0,False
7,159,166,V333,0.0,False
7,159,166,V128,0.006597573503309239,False
7,159,166,V308,0.004246592300061254,False
7,159,166,V204,0.0,False
7,159,166,V165,0.0,False
7,159,166,V318,0.0,False
7,159,166,V134,0.0,False
7,159,166,V213,0.0,False
7,159,166,V331,0.0,False
7,159,166,V306,0.006253990686153327,False
7,159,166,V126,0.007326829648090117,False
7,159,166,V202,0.0,False
7,159,166,V164,0.0,False
7,159,166,V316,0.0,False
7,159,166,V132,0.0,False
7,159,166,V211,0.0,False
7,166,173,TransactionAmt_to_std_uid,0.0475443363485097,False
7,166,173,TransactionAmt_to_std_card1,0.008747083291044391,False
7,166,173,TransactionAmt_log_to_std_uid,0.055071255523751264,False
7,166,173,TransactionAmt_log_to_std_card1,0.01007141556388468,False
7,166,173,id_02,0.028591531218722852,False
7,166,173,TransactionAmt_log_card4_count,0.00011513446293171793,False
7,166,173,TransactionAmt_card4_count,0.00011513446293171793,False
7,166,173,V332,0.0,False
7,166,173,V127,0.03182036816973372,False
7,166,173,V307,0.021417703959885386,False
7,166,173,V203,0.0,False
7,166,173,V317,0.026650140777544372,False
7,166,173,V133,0.0,False
7,166,173,V212,0.0,False
7,166,173,V333,0.0,False
7,166,173,V128,0.027499130510874444,False
7,166,173,V308,0.02430745157514559,False
7,166,173,V204,0.0,False
7,166,173,V165,0.0,False
7,166,173,V318,0.0,False
7,166,173,V134,0.0,False
7,166,173,V213,0.0,False
7,166,173,V331,0.0,False
7,166,173,V306,0.025351946047525577,False
7,166,173,V126,0.026924422100542026,False
7,166,173,V202,0.0,False
7,166,173,V164,0.0,False
7,166,173,V316,0.0,False
7,166,173,V132,0.0,False
7,166,173,V211,0.0,False
7,173,180,TransactionAmt_to_std_uid,0.04705313219648289,False
7,173,180,TransactionAmt_to_std_card1,0.0019112459048934852,False
7,173,180,TransactionAmt_log_to_std_uid,0.04979329244695855,False
7,173,180,TransactionAmt_log_to_std_card1,0.001684737863980512,False
7,173,180,id_02,0.000761196575843138,False
7,173,180,TransactionAmt_log_card4_count,4.7678413093098045e-05,False
7,173,180,TransactionAmt_card4_count,4.7678413093098045e-05,False
7,173,180,V332,0.0,False
7,173,180,V127,0.009316315845948782,False
7,173,180,V307,0.004247763474034851,False
7,173,180,V203,0.0,False
7,173,180,V317,0.004860000690236904,False
7,173,180,V133,0.0,False
7,173,180,V212,0.0,False
7,173,180,V333,0.0,False
7,173,180,V128,0.005507274907018859,False
7,173,180,V308,0.005066517523655977,False
7,173,180,V204,0.0,False
7,173,180,V165,0.0,False
7,173,180,V318,0.0,False
7,173,180,V134,0.0,False
7,173,180,V213,0.0,False
7,173,180,V331,0.0,False
7,173,180,V306,0.004275216995725638,False
7,173,180,V126,0.003442264192564661,False
7,173,180,V202,0.0,False
7,173,180,V164,0.0,False
7,173,180,V316,0.0,False
7,173,180,V132,0.0,False
7,173,180,V211,0.0,False
14,152,166,TransactionAmt_to_std_uid,0.020434914473419555,False
14,152,166,TransactionAmt_to_std_card1,0.0012598378109815434,False
14,152,166,TransactionAmt_log_to_std_uid,0.020265885325331266,False
14,152,166,TransactionAmt_log_to_std_card1,0.000936548859793809,False
14,152,166,id_02,0.007367237046609911,False
14,152,166,TransactionAmt_log_card4_count,0.012342858140465637,False
14,152,166,TransactionAmt_card4_count,0.012342858140465637,False
14,152,166,V332,0.0,False
14,152,166,V127,0.0008784797662883733,False
14,152,166,V307,8.179382173801846e-05,False
14,152,166,V203,0.0,False
14,152,166,V317,0.0016580759453777654,False
14,152,166,V133,0.0,False
14,152,166,V212,0.0,False
14,152,166,V333,0.0,False
14,152,166,V128,0.0017154516909074487,False
14,152,166,V308,0.0014195548037724695,False
14,152,166,V204,0.0,False
14,152,166,V165,0.0,False
14,152,166,V318,0.0,False
14,152,166,V134,0.0,False
14,152,166,V213,0.0,False
14,152,166,V331,0.0,False
14,152,166,V306,0.0032649302456323813,False
14,152,166,V126,0.003069172777552957,False
14,152,166,V202,0.0,False
14,152,166,V164,0.0,False
14,152,166,V316,0.0,False
14,152,166,V132,0.0,False
14,152,166,V211,0.0,False
14,166,180,TransactionAmt_to_std_uid,0.04705618554344024,False
14,166,180,TransactionAmt_to_std_card1,0.0036014609698918395,False
14,166,180,TransactionAmt_log_to_std_uid,0.05224820244240551,False
14,166,180,TransactionAmt_log_to_std_card1,0.0036658219470838116,False
14,166,180,id_02,0.011231055579638334,False
14,166,180,TransactionAmt_log_card4_count,5.4394942904801444e-06,False
14,166,180,TransactionAmt_card4_count,5.4394942904801444e-06,False
14,166,180,V332,0.0,False
14,166,180,V127,0.019442140756995272,False
14,166,180,V307,0.011606315847176049,False
14,166,180,V203,0.0,False
14,166,180,V317,0.014528594345901423,False
14,166,180,V133,0.0,False
14,166,180,V212,0.0,False
14,166,180,V333,0.0,False
14,166,180,V128,0.015181597119069294,False
14,166,180,V308,0.013400715542369645,False
14,166,180,V204,0.0,False
14,166,180,V165,0.0,False
14,166,180,V318,0.0,False
14,166,180,V134,0.0,False
14,166,180,V213,0.0,False
14,166,180,V331,0.0,False
14,166,180,V306,0.013545318613997565,False
14,166,180,V126,0.01348379961072411,False
14,166,180,V202,0.0,False
14,166,180,V164,0.0,False
14,166,180,V316,0.0,False
14,166,180,V132,0.0,False
14,166,180,V211,0.0,False
30,152,182,TransactionAmt_to_std_uid,0.032559922418422704,False
30,152,182,TransactionAmt_to_std_card1,0.0014696714395295047,False
30,152,182,TransactionAmt_log_to_std_uid,0.03460335768747847,False
30,152,182,TransactionAmt_log_to_std_card1,0.0015109803146796117,False
30,152,182,id_02,0.008630689802422925,False
30,152,182,TransactionAmt_log_card4_count,0.003673700992575975,False
30,152,182,TransactionAmt_card4_count,0.003673700992575975,False
30,152,182,V332,0.0,False
30,152,182,V127,0.00692107550840855,False
30,152,182,V307,0.00321045291802579,False
30,152,182,V203,0.0,False
30,152,182,V317,0.0067066200847256344,False
30,152,182,V133,0.0,False
30,152,182,V212,0.0,False
30,152,182,V333,0.0,False
30,152,182,V128,0.006718109447749423,False
30,152,182,V308,0.005854280595359735,False
30,152,182,V204,0.0,False
30,152,182,V165,0.0,False
30,152,182,V318,0.0,False
30,152,182,V134,0.0,False
30,152,182,V213,0.0,False
30,152,182,V331,0.0,False
30,152,182,V306,0.007215319994579933,False
30,152,182,V126,0.007113986985868742,False
30,152,182,V202,0.0,False
30,152,182,V164,0.0,False
30,152,182,V316,0.0,False
30,152,182,V132,0.0,False
30,152,182,V211,0.0,False
