feature,mean_abs_shap
C13,0.5530623574694317
rel_day_bucket,0.25871039108689536
V70,0.23459072668068137
C14,0.19568561962315215
time_day,0.1943770193513707
C5,0.19341689142941249
FE_card1,0.1855930798834869
C1,0.1652199051680724
D3,0.156717872064882
TransactionAmt_card1_mean,0.14972935973398988
card1,0.14759022665523783
FE_ProductCD,0.13209650533891454
C11,0.1319369631006604
card2,0.1292873283329113
C2,0.1285752877311226
TransactionAmt_uid_mean,0.12308018967281016
TransactionAmt_log_uid_mean,0.12303149278959223
TransactionAmt_log_uid_std,0.1191064873390252
D4,0.11854569843776977
D10,0.11690439475481282
TransactionAmt_log_card1_std,0.11685052669568745
TransactionAmt_card1_std,0.10899766789500723
V294,0.10872048950131144
TransactionAmt_uid_std,0.10695106908529949
TransactionAmt_uid_count,0.10097557541689328
D2,0.09867466476196242
addr1,0.09795009360922358
FE_addr1,0.09494529178600479
TransactionAmt_log_card1_mean,0.09485377061927998
D15,0.09463637855037303
FE_P_emaildomain,0.09348466698517996
card5,0.08503724216116192
FE_card6,0.08127967248891398
V91,0.07897136316672906
M7,0.07802681318180357
V82,0.0762894731924427
V310,0.07464206079752551
V130,0.0738588398813828
TransactionAmt_log_to_std_card1,0.07234429237383662
D1,0.07117970194423619
V258,0.06946024631903099
D8,0.06851250294232773
FE_M5,0.06809829384058541
C9,0.06774390268165831
P_emaildomain,0.0671456051122441
card6,0.06609581376491418
dist1,0.06568872860313826
id_20,0.06353465116476728
M5,0.06340139899533492
TransactionAmt_to_std_card1,0.062787386039001
M6,0.061557268422213374
M4,0.061119449342005056
V285,0.060579607043408285
TransactionAmt_log_to_std_uid,0.06018732850423907
TransactionAmt_to_std_uid,0.05743942094959322
C8,0.056252060805476116
V53,0.05391225305415197
V165,0.05385826002311525
id_13,0.0537662700252046
TransactionAmt_log_to_mean_card1,0.05295900538562132
TransactionAmt_to_mean_uid,0.0527222367035061
FE_R_emaildomain,0.05269732950868862
FE_M4,0.05254824864279699
C6,0.0525038923066192
TransactionAmt_card1_count,0.05050821539301538
FE_P_emaildomain_provider,0.04657015685405301
TransactionAmt,0.04623313070380603
TransactionAmt_log,0.04595733133297442
id_02,0.045792551713101974
TransactionAmt_to_std_card4,0.04544800253030033
TransactionAmt_log_to_std_card4,0.04537582344002714
C10,0.04481780573874419
D11,0.044797663447710634
M8,0.04450008056360872
card3,0.04420859398417229
M2,0.041957328718464186
FE_P_emaildomain_tld,0.04169713092868455
id_31,0.040438255305235
D13,0.03918718405523646
TransactionAmt_to_mean_card1,0.038721289932193315
DeviceInfo,0.03733218099799904
R_emaildomain,0.03686494501029829
D5,0.03653600227392556
FE_id_31,0.035343558673878464
V48,0.034064114654467965
id_05,0.03393376048648015
TransactionAmt_log_to_mean_card4,0.03309722092743828
V312,0.03250693740337979
TransactionAmt_to_mean_card4,0.03129158437590243
TransactionAmt_log_to_mean_uid,0.03006597683628315
M3,0.029761952556042217
V83,0.028758796970629313
ProductCD,0.027952064087166852
id_19,0.02788408679708887
id_30,0.027579774171556784
V99,0.026025204682192975
V307,0.025730554236539985
C4,0.02558416855565462
FE_DeviceInfo,0.02401515487734009
card4,0.02375305049545705
D9,0.022658916900822702
V11,0.02208018608898805
id_14,0.021949892237977647
C12,0.021760345934543655
id_01,0.02150477759634145
TransactionAmt_log_uid_count,0.021433394323184526
V131,0.020995197289569185
id_33,0.02082610443862544
FE_DeviceType,0.019737829151337382
V45,0.019703008547413664
V187,0.01951541712834604
V279,0.019319243914129928
FE_id_30,0.019238094818230387
FE_id_33,0.019061079276044345
